kepid,prob_confirmed,label
8360041,0.96408725,CANDIDATE
7730747,0.9640867,CANDIDATE
8869680,0.9640825,CANDIDATE
9011877,0.96407664,CANDIDATE
8216763,0.9640763,CANDIDATE
9580992,0.9640673,CANDIDATE
9203154,0.9640641,CANDIDATE
11520114,0.9640594,CANDIDATE
10073672,0.9640498,CANDIDATE
11655826,0.9640288,CANDIDATE
9202151,0.9640199,CANDIDATE
10285631,0.96401215,CANDIDATE
6670610,0.96400803,CANDIDATE
5353938,0.9640039,CANDIDATE
8684730,0.96400017,CANDIDATE
7730747,0.96399486,CANDIDATE
9491832,0.96398646,CANDIDATE
9815053,0.96398544,CANDIDATE
9580992,0.96398014,CANDIDATE
7668416,0.9639736,CANDIDATE
9006186,0.9639727,CANDIDATE
11655826,0.9639634,CANDIDATE
12300524,0.9639625,CANDIDATE
11853130,0.96396095,CANDIDATE
10395543,0.963956,CANDIDATE
