kepoi_name,kepid,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_prad,koi_depth,koi_time0bk
"K03218.01",10191036,,"FALSE POSITIVE","FALSE POSITIVE",1.21374652,0.59,28.9,131.735
"K03219.01",7985733,,"FALSE POSITIVE","FALSE POSITIVE",0.544561598,44.9,35.2,131.94532
"K03221.01",6956136,,"FALSE POSITIVE","FALSE POSITIVE",53.912783631,4.25,216.7,132.2733337
"K03320.01",6690171,,"FALSE POSITIVE","FALSE POSITIVE",85.0624157,21.26,41901,149.220739
"K03321.01",6859801,,"FALSE POSITIVE","FALSE POSITIVE",10.882416555,29.69,16629.5,132.677164
"K00335.01",10470206,,"FALSE POSITIVE","FALSE POSITIVE",46.56675437,5.25,801.1,196.31173
"K03402.01",3757778,,"FALSE POSITIVE","FALSE POSITIVE",36.514374043,33.27,111620,163.794463
"K03405.01",8211605,,"FALSE POSITIVE","FALSE POSITIVE",20.9794338,24.76,2388.2,147.72605
"K03490.01",8882847,,"FALSE POSITIVE","FALSE POSITIVE",42.2011587,37.39,178.1,172.4344
"K03491.01",12164634,,"FALSE POSITIVE","FALSE POSITIVE",89.3313828,8.02,2177.6,204.18503
"K03492.01",5193077,,"FALSE POSITIVE","FALSE POSITIVE",22.2941485,1.5,100.9,146.4526
"K03590.01",3348093,,"FALSE POSITIVE","FALSE POSITIVE",7.964400574,61.54,190903,131.563644
"K00061.01",8248939,,"FALSE POSITIVE","FALSE POSITIVE",1.63345402,24.87,359,181.8556
"K03591.01",6182846,,"FALSE POSITIVE","FALSE POSITIVE",6.399101307,51.77,83326,134.702264
"K03592.01",9851126,,"FALSE POSITIVE","FALSE POSITIVE",8.480303653,22.25,81427.9,135.854594
"K03593.01",3442054,,"FALSE POSITIVE","FALSE POSITIVE",117.6813778,45.43,45362,147.206961
"K03594.01",4079530,,"FALSE POSITIVE","FALSE POSITIVE",17.72722648,35.18,147144,144.070402
"K03686.01",9719636,,"FALSE POSITIVE","FALSE POSITIVE",3.351573993,24.15,54546,134.28062
"K03687.01",2452440,,"FALSE POSITIVE","FALSE POSITIVE",8.097050622,24.01,65620,138.423529
"K03688.01",5020034,,"FALSE POSITIVE","FALSE POSITIVE",2.119107262,77.23,124646,132.58903
"K03782.01",11357192,,"FALSE POSITIVE","FALSE POSITIVE",186.5168116,37.5,5752.4,169.64687
"K03784.01",5688997,,"FALSE POSITIVE","FALSE POSITIVE",23.8706941,49.6,6386.3,136.9568
"K03785.01",4073730,,"FALSE POSITIVE","FALSE POSITIVE",6.2820426,23.76,1413,131.58905
"K03879.01",5560830,,"FALSE POSITIVE","FALSE POSITIVE",0.867719291,37.79,2651.8,132.165597
"K03880.01",4147444,,"FALSE POSITIVE","FALSE POSITIVE",1.803697292,1,69.7,131.51365
"K00066.01",10620329,,"FALSE POSITIVE","FALSE POSITIVE",0.436282594,83.25,536.4,170.702041
"K03883.01",9592850,,"FALSE POSITIVE","FALSE POSITIVE",1.219324537,60.62,379055,131.94673
