kepoi_name,kepid,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_prad,koi_depth,koi_time0bk
"K00517.01",8015907,"Kepler-585 b","CONFIRMED","CANDIDATE",2.752359689,2.54,791.9,171.259808
"K00521.01",8162789,"Kepler-1989 b","CONFIRMED","CANDIDATE",10.161023528,4.62,1653.9,172.000736
"K00528.02",9941859,"Kepler-178 d","CONFIRMED","CANDIDATE",96.6781852,3.29,951.3,140.18339
"K00505.05",5689351,"Kepler-169 f","CONFIRMED","CANDIDATE",87.0912594,2.95,1129.1,187.31231
"K00518.01",8017703,"Kepler-174 b","CONFIRMED","CANDIDATE",13.98177862,2.09,1018.4,181.975114
"K00528.03",9941859,"Kepler-178 c","CONFIRMED","CANDIDATE",20.55280311,2.99,727.3,145.02837
"K00535.01",10873260,"Kepler-590 b","CONFIRMED","CANDIDATE",5.852968845,3.46,1146.5,171.181624
"K00550.01",4165473,"Kepler-597 b","CONFIRMED","CANDIDATE",13.02363236,2.3,607,178.52482
"K00557.01",5774349,"Kepler-599 b","CONFIRMED","CANDIDATE",15.65563866,2.55,955.9,170.78358
"K00571.01",8120608,"Kepler-186 c","CONFIRMED","CANDIDATE",7.26731094,1.14,659.1,174.31292
"K00574.02",8355239,"Kepler-189 b","CONFIRMED","CANDIDATE",10.39986173,1.5,275.3,141.51366
"K00581.02",8822216,"Kepler-610 c","CONFIRMED","CANDIDATE",151.863949,2.41,747,143.31451
"K00587.01",9607164,"Kepler-614 b","CONFIRMED","CANDIDATE",14.03490255,2.41,851.8,171.60491
"K00596.01",10388286,"Kepler-617 b","CONFIRMED","CANDIDATE",1.682695938,1.23,703.8,170.453117
"K00601.03",10973664,"Kepler-619 c","CONFIRMED","CANDIDATE",1.208462378,1.64,227.3,133.67712
"K00510.03",6422155,"Kepler-172 d","CONFIRMED","CANDIDATE",14.62709685,2.7,396.4,136.23467
"K00536.01",10965008,"Kepler-591 b","CONFIRMED","CANDIDATE",81.1701587,4.71,1183.2,178.58702
"K00558.01",5978361,"Kepler-1722 b","CONFIRMED","CANDIDATE",9.17858526,2.3,796.5,173.08746
"K00588.01",9631762,"Kepler-615 b","CONFIRMED","CANDIDATE",10.35586478,1.92,660.9,175.68106
"K00597.01",10600261,"Kepler-194 c","CONFIRMED","CANDIDATE",17.30795548,3.56,633,176.94326
"K00602.01",12459913,"Kepler-620 b","CONFIRMED","CANDIDATE",12.91385906,2.49,487.9,177.27535
"K00510.04",6422155,"Kepler-172 e","CONFIRMED","CANDIDATE",35.1184432,3.26,542.4,152.12282
"K00518.02",8017703,"Kepler-174 c","CONFIRMED","CANDIDATE",44.0003975,1.56,599.6,210.76222
"K00551.01",4270253,"Kepler-183 c","CONFIRMED","CANDIDATE",11.6370303,2.9,604.3,178.84448
"K00571.02",8120608,"Kepler-186 d","CONFIRMED","CANDIDATE",13.3430025,1.29,799.7,176.90387
"K00575.01",8367113,"Kepler-606 b","CONFIRMED","CANDIDATE",24.31574009,2.8,643.3,183.40875
"K00582.01",9020160,"Kepler-191 d","CONFIRMED","CANDIDATE",5.945043548,2.69,800.2,170.472237
"K00518.03",8017703,"Kepler-174 d","CONFIRMED","CANDIDATE",247.354914,2.29,1291.8,364.15832
"K00537.01",11073351,"Kepler-592 b","CONFIRMED","CANDIDATE",2.820190603,2.53,467.5,170.787705
"K00546.01",12058931,"Kepler-182 c","CONFIRMED","CANDIDATE",20.68420772,3.28,858.5,170.19034
"K00560.01",6501635,"Kepler-600 b","CONFIRMED","CANDIDATE",23.67513153,2.76,980.4,179.27676
"K00567.01",7445445,"Kepler-184 b","CONFIRMED","CANDIDATE",10.68758211,2.64,777.7,169.93115
"K00571.03",8120608,"Kepler-186 b","CONFIRMED","CANDIDATE",3.886795001,0.97,471.3,133.32959
"K00582.02",9020160,"Kepler-191 c","CONFIRMED","CANDIDATE",17.73842886,2.47,605.5,148.99011
